ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.475,0.204,0.861,-35.000,4.000,64.000,-40.955,75.867,-67.871,0.18,-0.17,-0.12
0.505,0.135,0.746,-6.000,-18.000,51.000,-47.974,73.181,-67.810,0.19,-0.18,-0.13
0.498,0.158,0.754,-6.000,-18.000,51.000,-40.344,62.622,-59.509,0.19,-0.19,-0.14
0.487,0.249,0.797,-6.000,-18.000,51.000,-31.006,62.744,-61.768,0.20,-0.20,-0.16
0.510,0.313,0.875,-6.000,-18.000,51.000,-27.893,69.031,-66.650,0.21,-0.21,-0.17
0.545,0.182,0.807,-6.000,-18.000,51.000,-30.579,81.177,-78.735,0.22,-0.21,-0.18
0.633,0.023,0.709,-2.000,-30.000,44.000,-39.795,80.139,-81.909,0.23,-0.22,-0.20
0.693,-0.026,0.698,-2.000,-30.000,44.000,-53.162,73.059,-70.679,0.23,-0.24,-0.22
0.686,0.084,0.706,-2.000,-30.000,44.000,-48.767,74.463,-49.622,0.24,-0.25,-0.23
0.696,0.179,0.675,-2.000,-30.000,44.000,-44.556,78.796,-41.077,0.25,-0.25,-0.24
0.744,0.173,0.586,-2.000,-30.000,44.000,-43.762,79.407,-45.532,0.26,-0.26,-0.25
0.811,0.162,0.549,-4.000,-38.000,32.000,-60.791,74.341,-60.669,0.27,-0.28,-0.26
0.856,0.117,0.456,-4.000,-38.000,32.000,-63.843,57.922,-65.857,0.27,-0.29,-0.28
0.818,0.164,0.556,-4.000,-38.000,32.000,-47.546,43.457,-55.847,0.27,-0.30,-0.29
0.804,0.163,0.627,-4.000,-38.000,32.000,-40.161,48.584,-49.133,0.28,-0.31,-0.30
0.806,0.193,0.616,-4.000,-38.000,32.000,-36.499,51.819,-46.143,0.28,-0.32,-0.31
0.813,0.229,0.611,-4.000,-38.000,32.000,-27.527,57.251,-46.814,0.29,-0.33,-0.32
0.858,0.068,0.499,-5.000,-41.000,27.000,-21.729,62.866,-53.162,0.29,-0.33,-0.33
0.894,-0.008,0.532,-5.000,-41.000,27.000,-21.790,57.312,-41.870,0.30,-0.34,-0.34
0.933,-0.081,0.587,-5.000,-41.000,27.000,-20.447,61.218,-25.024,0.30,-0.34,-0.35
0.962,-0.040,0.533,-5.000,-41.000,27.000,0.061,72.998,-4.761,0.31,-0.35,-0.35
0.964,-0.045,0.530,-5.000,-41.000,27.000,25.879,81.055,12.329,0.33,-0.34,-0.36
0.930,0.010,0.511,-4.000,-44.000,15.000,50.110,88.989,28.137,0.34,-0.33,-0.36
0.896,0.030,0.436,-4.000,-44.000,15.000,65.125,98.816,37.903,0.36,-0.32,-0.36
0.858,0.069,0.317,-4.000,-44.000,15.000,63.782,99.854,42.664,0.37,-0.31,-0.35
