delta,ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.101,0.578,-0.511,0.409,-34.000,-24.000,10.000,-0.582,-0.956,-1.129,-0.56,-1.67,2.91
0.101,0.511,-0.617,0.568,-33.000,-20.000,10.000,-0.218,-0.594,-0.762,-0.49,-1.67,2.85
0.101,0.419,-0.809,0.675,-34.000,-15.000,11.000,-0.247,-0.343,-0.545,-0.44,-1.65,2.82
0.111,0.373,-0.761,0.722,-33.000,-15.000,19.000,-0.098,-0.312,-0.425,-0.40,-1.65,2.79
0.091,0.328,-0.636,0.607,-34.000,-11.000,14.000,-0.157,0.118,-0.210,-0.38,-1.62,2.80
0.101,0.308,-0.617,0.607,-32.000,-11.000,19.000,-0.364,0.276,-0.638,-0.32,-1.57,2.83
0.100,0.254,-0.656,0.567,-33.000,-4.000,22.000,-0.322,-0.005,-0.850,-0.24,-1.53,2.83
0.111,0.169,-0.815,0.789,-29.000,0.000,20.000,-0.272,-0.365,-0.850,-0.15,-1.50,2.79
0.090,0.140,-0.776,0.769,-30.000,2.000,22.000,-0.166,0.496,-0.539,-0.10,-1.48,2.83
0.101,0.156,-0.768,0.633,-29.000,1.000,19.000,-0.425,0.938,-0.462,-0.05,-1.42,2.92
0.101,0.186,-0.654,0.641,-28.000,0.000,21.000,-0.174,0.763,-0.101,-0.03,-1.39,2.99
0.101,0.250,-0.618,0.839,-29.000,-1.000,20.000,-0.065,0.432,-0.065,-0.02,-1.37,3.03
0.101,0.296,-0.684,0.643,-29.000,0.000,26.000,0.133,0.338,0.078,-0.02,-1.38,3.06
0.101,0.280,-0.757,0.687,-29.000,-1.000,22.000,0.120,0.686,0.118,-0.02,-1.38,3.13
0.111,0.404,-0.581,0.626,-30.000,-8.000,22.000,0.844,-0.183,0.760,-0.11,-1.47,3.12
0.080,0.432,-0.773,0.565,-30.000,-6.000,21.000,0.445,0.562,0.405,-0.15,-1.49,-3.12
0.101,0.479,-0.834,0.624,-32.000,-10.000,20.000,0.161,0.611,0.203,-0.17,-1.49,-3.06
0.101,0.533,-0.803,0.381,-33.000,-14.000,20.000,-0.010,0.902,0.350,-0.20,-1.47,-2.96
0.101,0.641,-0.821,0.470,-32.000,-15.000,18.000,0.051,0.533,0.493,-0.25,-1.46,-2.90
0.101,0.708,-0.656,0.496,-32.000,-20.000,11.000,-0.216,0.821,0.648,-0.32,-1.40,-2.81
0.100,0.771,-0.670,0.452,-32.000,-25.000,15.000,-0.146,0.945,0.766,-0.38,-1.34,-2.69
0.100,0.850,-0.296,0.129,-26.000,-31.000,10.000,-0.672,1.429,0.923,-0.45,-1.20,-2.52
0.101,0.888,-0.380,0.058,-23.000,-35.000,9.000,1.442,1.091,0.485,-0.48,-1.29,-2.39
0.100,0.957,0.082,-0.164,-22.000,-38.000,-10.000,6.221,0.721,1.646,-0.65,-1.86,-2.32
0.101,1.012,0.014,-0.203,-11.000,-39.000,-17.000,2.434,-0.483,0.737,-0.71,-2.18,-2.41
0.101,0.973,-0.299,-0.373,-12.000,-41.000,-19.000,0.310,0.134,1.350,-0.84,-2.29,-2.52
0.100,0.972,-0.005,-0.066,-6.000,-42.000,-20.000,1.078,0.187,0.917,-0.93,-2.47,-2.60
0.101,0.911,0.291,-0.019,1.000,-41.000,-19.000,0.634,0.219,1.034,-1.01,-2.63,-2.71
0.101,0.902,0.478,-0.015,8.000,-43.000,-20.000,1.179,0.142,0.282,-1.05,-2.77,-2.73
0.100,0.833,0.515,0.147,14.000,-37.000,-30.000,3.690,1.335,1.000,-1.20,2.97,-2.91
0.100,0.609,1.393,-0.314,28.000,-32.000,-23.000,2.010,1.720,1.060,-1.31,2.26,2.83
0.091,0.736,0.602,-0.216,30.000,-29.000,-26.000,1.509,1.141,-0.659,-1.43,1.87,2.57
0.100,0.780,0.673,-0.063,32.000,-29.000,-30.000,0.656,0.681,-0.243,-1.47,1.24,2.01
0.100,0.734,0.516,0.016,34.000,-26.000,-28.000,0.843,1.235,-1.646,-1.39,-0.56,0.27
