delta,ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.090,0.602,-0.748,-0.045,-13.000,-41.000,-15.000,-1.601,-2.198,0.609,1.42,1.99,1.44
0.090,0.693,-0.688,0.258,-9.000,-44.000,-5.000,-1.809,-2.286,1.304,1.43,0.25,-2.94
0.101,0.773,-0.395,0.564,0.000,-47.000,3.000,-1.555,-1.940,1.835,1.21,-0.31,-2.20
0.101,0.822,0.048,0.593,9.000,-48.000,12.000,-1.818,-1.119,2.243,1.01,-0.47,-1.83
0.100,0.837,-0.085,0.723,9.000,-47.000,8.000,-0.487,1.229,-0.403,1.14,-0.45,-1.79
0.100,0.781,-0.156,0.359,7.000,-48.000,6.000,0.297,1.261,-1.598,1.30,-0.17,-2.13
0.100,0.761,-0.338,-0.061,1.000,-47.000,-1.000,0.554,-0.023,-1.609,1.28,0.36,-2.74
0.100,0.724,-0.487,0.356,-3.000,-46.000,7.000,-0.172,-1.077,-0.919,1.14,0.49,-2.86
0.101,0.590,-0.595,0.569,-9.000,-44.000,11.000,0.284,-1.268,-1.348,0.95,0.56,-2.97
0.111,0.408,-0.799,0.481,-14.000,-35.000,8.000,2.175,-0.652,-1.405,0.79,0.45,3.14
0.091,0.234,-1.077,0.161,-21.000,-37.000,2.000,3.384,0.081,-1.327,0.75,0.28,2.96
0.100,0.217,-0.994,0.005,-21.000,-31.000,-6.000,4.254,0.751,-1.521,0.79,0.04,2.72
0.100,-0.005,-0.627,-0.473,-19.000,-27.000,-15.000,2.737,2.243,-1.408,1.02,-0.02,2.47
0.101,-0.281,-0.869,-0.676,-18.000,-24.000,-20.000,1.577,1.796,-1.440,1.21,0.17,2.08
0.101,-0.417,-0.692,-0.608,-24.000,-22.000,-25.000,0.487,1.718,-0.733,1.35,0.62,1.57
0.091,-0.591,-0.755,-0.597,-25.000,-11.000,-38.000,0.526,2.305,-0.478,1.39,1.73,0.40
0.101,-0.747,-0.749,-0.310,-25.000,2.000,-33.000,0.146,2.378,-0.974,1.18,2.33,-0.22
0.101,-0.893,-0.716,-0.176,-23.000,13.000,-31.000,0.108,2.429,-0.203,0.98,2.58,-0.50
0.100,-0.874,-0.754,0.134,-25.000,19.000,-25.000,-0.312,2.205,1.079,0.83,2.85,-0.80
0.100,-0.811,-0.545,0.265,-29.000,22.000,-16.000,-2.325,1.654,-0.244,0.67,3.09,-0.80
0.101,-0.760,-0.537,0.621,-29.000,21.000,-1.000,-1.231,1.094,0.050,0.57,-3.07,-0.81
0.101,-0.300,-0.206,0.670,-26.000,23.000,5.000,-1.483,1.214,-0.366,0.46,-2.95,-0.75
0.101,-0.546,-0.008,1.075,-20.000,25.000,18.000,-1.770,1.021,-0.513,0.38,-2.80,-0.66
0.111,-0.482,0.060,1.141,-16.000,21.000,31.000,-0.338,1.626,0.039,0.21,-2.78,-0.60
0.091,-0.275,0.063,1.034,-15.000,15.000,30.000,-0.634,2.643,-0.739,0.01,-2.74,-0.45
0.101,0.014,0.001,0.880,-6.000,8.000,38.000,-0.358,2.019,-1.417,-0.12,-2.69,-0.23
0.100,0.190,0.110,1.039,-2.000,4.000,41.000,-0.039,1.395,-1.173,-0.19,-2.66,-0.06
0.100,0.349,0.019,0.784,-4.000,-6.000,44.000,1.019,1.882,-1.097,-0.32,-2.71,0.13
0.101,0.563,-0.153,0.755,-6.000,-12.000,41.000,0.991,1.115,0.374,-0.45,-2.81,0.14
0.100,0.688,0.135,0.771,-9.000,-18.000,37.000,1.114,1.484,0.546,-0.61,-2.93,0.12
0.101,0.948,-0.102,0.343,-13.000,-24.000,31.000,2.045,1.617,0.508,-0.79,3.12,0.08
0.100,1.041,-0.069,0.121,-15.000,-34.000,21.000,2.398,2.101,0.528,-1.00,2.76,-0.08
0.100,1.102,0.125,-0.028,-18.000,-42.000,12.000,3.343,1.186,1.750,-0.99,2.11,-0.47
0.101,1.013,0.256,0.169,-10.000,-45.000,3.000,4.857,0.486,2.707,-0.75,1.49,-0.65
0.090,0.913,0.406,0.370,1.000,-48.000,-6.000,4.382,0.125,3.045,-0.49,1.13,-0.58
0.100,0.771,0.527,0.310,13.000,-47.000,-15.000,1.598,1.708,3.203,-0.14,0.97,-0.57
0.101,0.709,0.535,0.164,18.000,-41.000,-16.000,-0.620,0.689,1.384,0.00,1.03,-0.55
0.100,0.505,0.814,-0.122,21.000,-35.000,-23.000,-2.592,1.410,1.974,0.24,1.30,-0.59
0.100,0.331,0.634,-0.511,19.000,-29.000,-37.000,-3.477,1.935,1.539,0.40,1.72,-0.78
0.101,0.128,0.392,-0.814,6.000,-19.000,-37.000,-3.435,1.460,1.062,0.45,2.16,-0.97
0.101,-0.007,0.300,-0.910,-5.000,-19.000,-37.000,-1.832,0.422,0.605,0.46,2.40,-1.06
0.101,-0.076,0.088,-1.156,-13.000,-14.000,-37.000,-2.104,0.898,0.428,0.41,2.67,-1.16
0.101,-0.154,-0.153,-1.191,-20.000,-13.000,-33.000,-2.071,0.984,1.104,0.35,2.94,-1.31
0.100,-0.272,-0.293,-1.179,-25.000,-10.000,-30.000,-1.586,1.230,1.388,0.24,-3.14,-1.47
0.101,-0.331,-0.511,-1.079,-29.000,-13.000,-29.000,-1.630,1.130,1.734,0.12,-2.96,-1.64
0.101,-0.265,-0.685,-1.007,-33.000,-18.000,-16.000,-1.596,0.736,1.940,0.01,-2.80,-1.81
0.100,-0.220,-0.561,-0.541,-32.000,-24.000,-14.000,-1.357,0.258,0.862,-0.04,-2.68,-1.89
0.101,-0.206,-0.527,-0.749,-33.000,-23.000,-14.000,-0.638,0.744,-0.749,-0.07,-2.63,-1.79
0.100,-0.397,-0.523,-0.551,-37.000,-17.000,-11.000,-0.345,0.415,-1.769,-0.01,-2.60,-1.63
0.091,-0.502,-0.739,-0.566,-35.000,-5.000,-7.000,-0.149,0.383,-1.734,0.05,-2.60,-1.48
0.101,-0.689,-0.257,-0.673,-37.000,2.000,-13.000,-0.225,-0.651,-1.949,0.22,-2.61,-1.35
0.100,-0.792,-0.655,-0.938,-30.000,12.000,-11.000,-0.697,-2.590,-2.797,0.60,-2.59,-1.24
0.101,-0.747,-0.659,-0.552,-31.000,9.000,-27.000,0.307,-3.954,-0.529,0.97,-2.45,-1.49
0.101,-0.402,-0.487,-0.800,-30.000,-2.000,-29.000,1.612,-3.377,0.970,1.12,-2.09,-2.10
0.111,-0.030,-0.109,-1.050,-18.000,-9.000,-31.000,2.349,-2.925,1.247,1.09,-1.70,-2.83
0.091,0.256,0.033,-1.123,-11.000,-25.000,-39.000,2.795,-2.925,0.960,1.00,-1.52,2.96
0.100,0.465,0.318,-0.701,-2.000,-35.000,-31.000,2.428,-2.348,0.142,0.96,-1.44,2.56
0.101,0.674,0.369,-0.705,0.000,-41.000,-28.000,1.877,-2.315,-0.813,0.98,-1.28,2.15
0.101,0.734,0.350,-0.360,2.000,-44.000,-14.000,1.540,-2.249,-1.312,1.00,-1.05,1.68
0.100,0.884,0.246,-0.130,0.000,-47.000,-11.000,1.109,-1.446,-2.144,1.07,-0.74,1.20
0.111,0.920,0.028,0.127,-8.000,-45.000,-9.000,1.288,-0.447,-2.033,1.15,-0.44,0.72
0.091,0.920,-0.089,0.062,-17.000,-43.000,-5.000,1.394,0.065,-1.962,1.21,-0.15,0.28
0.101,0.859,-0.363,0.019,-20.000,-36.000,-13.000,1.655,0.178,-1.963,1.22,0.23,-0.30
0.100,0.792,-0.386,-0.144,-19.000,-33.000,-20.000,1.941,0.365,-0.600,1.24,0.24,-0.52
0.101,0.800,-0.512,-0.162,-17.000,-30.000,-29.000,3.624,1.789,-0.802,1.38,0.42,-1.07
0.101,0.681,-0.425,-0.731,-4.000,-20.000,-37.000,2.717,1.377,-1.179,1.39,1.23,-2.17
0.091,0.588,-0.355,-0.732,0.000,-16.000,-39.000,1.888,0.828,-1.197,1.30,1.51,-2.64
0.100,0.369,-0.300,-0.956,6.000,-12.000,-37.000,2.668,1.091,-1.621,1.13,1.58,-3.00
0.101,0.302,-0.117,-1.022,15.000,-12.000,-38.000,2.499,0.648,-1.184,1.01,1.48,3.11
0.101,0.159,0.061,-1.100,20.000,-8.000,-33.000,2.101,1.329,-1.573,0.87,1.49,2.84
0.100,-0.014,0.468,-1.248,29.000,-9.000,-31.000,3.275,1.098,-1.230,0.78,1.32,2.64
0.101,0.077,0.400,-0.966,29.000,-7.000,-29.000,0.986,0.861,-1.793,0.63,1.34,2.45
0.111,0.137,0.363,-1.067,33.000,-11.000,-34.000,0.076,0.471,-1.707,0.46,1.40,2.33
0.091,0.140,0.467,-0.857,34.000,-19.000,-36.000,0.659,-1.304,-2.578,0.21,1.32,2.40
0.101,0.323,0.298,-0.849,25.000,-31.000,-33.000,-2.578,-1.941,-2.627,-0.08,1.58,2.55
0.101,0.510,-0.319,-0.725,0.000,-41.000,-23.000,-7.848,-2.707,-1.823,-0.14,2.38,2.85
0.111,0.610,-0.525,-0.216,-7.000,-48.000,-5.000,-5.186,-2.501,0.011,0.08,2.94,2.98
0.090,0.644,-0.557,0.378,-6.000,-45.000,8.000,-3.070,-2.400,0.075,0.29,-3.08,2.99
0.102,0.432,-0.634,0.755,-5.000,-43.000,17.000,-2.076,-2.727,0.050,0.56,-2.84,2.93
0.110,0.340,-0.594,1.361,4.000,-37.000,29.000,-2.123,-1.990,1.243,0.69,-2.44,2.65
0.091,0.274,-0.335,0.976,15.000,-37.000,25.000,-2.743,1.019,2.486,0.46,-2.13,2.56
0.100,0.572,0.639,0.913,31.000,-35.000,15.000,-1.990,1.974,0.958,0.29,-1.98,2.70
0.111,0.718,0.699,0.754,28.000,-40.000,7.000,-2.460,2.559,-3.329,0.53,-1.86,3.11
0.081,0.851,0.360,0.427,14.000,-49.000,-4.000,-1.631,2.136,-2.670,0.68,-1.88,-2.90
0.101,0.866,-0.165,0.331,0.000,-48.000,-15.000,-2.304,0.778,-3.572,1.00,-1.85,-2.63
0.101,0.840,-0.462,0.454,-10.000,-42.000,-17.000,-1.566,1.763,-2.805,1.18,-2.24,-2.01
0.111,0.948,-0.438,0.025,-17.000,-36.000,-21.000,-0.659,1.066,-1.761,1.20,-2.75,-1.39
0.090,0.772,-0.639,-0.076,-22.000,-28.000,-23.000,0.020,1.266,-1.908,1.11,3.08,-0.90
0.101,0.609,-0.711,-0.382,-22.000,-20.000,-28.000,0.751,1.202,-1.105,0.96,2.84,-0.71
0.111,0.454,-0.776,-0.480,-18.000,-19.000,-30.000,0.336,-0.436,-0.467,0.97,2.69,-0.58
0.090,0.516,-0.833,-0.527,-16.000,-17.000,-34.000,1.973,-0.271,0.626,1.00,2.56,-0.64
0.111,0.744,-0.461,-0.445,-14.000,-22.000,-37.000,0.757,-0.364,0.979,1.08,2.59,-0.78
0.101,0.843,-0.489,-0.461,-11.000,-23.000,-40.000,0.361,-0.052,0.419,1.09,2.62,-0.85
0.101,0.703,-0.472,-0.594,-14.000,-25.000,-31.000,-1.521,-0.213,0.274,1.11,2.80,-0.88
0.090,0.696,-0.390,-0.256,-14.000,-29.000,-31.000,-1.079,-0.766,0.316,1.17,2.91,-0.89
0.101,0.811,-0.736,-0.136,-18.000,-28.000,-25.000,-0.685,-0.683,-0.538,1.21,2.78,-0.67
0.101,0.772,-0.665,-0.373,-19.000,-28.000,-19.000,-0.853,-0.731,-0.350,1.26,2.66,-0.47
0.101,0.754,-0.603,0.202,-27.000,-32.000,-18.000,-1.415,-1.055,-0.172,1.34,2.53,-0.18
0.100,0.843,-0.642,0.090,-24.000,-32.000,-11.000,-1.730,-0.370,0.463,1.39,2.78,-0.26
0.091,0.765,-0.375,0.349,-24.000,-36.000,-3.000,-0.695,-1.476,1.800,1.46,-1.88,-1.83
0.101,0.780,-0.163,0.354,-13.000,-43.000,1.000,-0.089,-1.146,3.331,1.13,-1.38,-2.34
0.100,0.780,0.072,0.509,-4.000,-42.000,12.000,-0.037,-2.351,2.177,0.84,-1.13,-2.63
0.100,0.736,-0.067,0.679,0.000,-40.000,14.000,-0.491,0.421,1.219,0.74,-1.17,-2.51
0.101,0.691,0.393,0.679,2.000,-41.000,19.000,-0.267,0.322,1.578,0.59,-1.21,-2.40
0.101,0.715,0.547,0.700,5.000,-45.000,13.000,-0.093,0.203,0.948,0.49,-1.23,-2.35
0.100,0.719,0.234,0.479,7.000,-46.000,12.000,-0.329,0.322,0.556,0.44,-1.22,-2.29
0.111,0.730,0.533,0.429,12.000,-49.000,5.000,-0.181,0.843,0.555,0.39,-1.25,-2.17
0.090,0.770,0.470,0.633,11.000,-48.000,-1.000,-0.183,0.643,0.327,0.37,-1.26,-2.11
0.100,0.796,0.601,0.705,15.000,-47.000,-4.000,-0.146,0.552,0.551,0.32,-1.26,-2.03
0.102,0.682,0.745,0.450,20.000,-45.000,-8.000,0.065,1.015,0.927,0.24,-1.31,-1.90
0.100,0.583,0.897,0.528,24.000,-39.000,-13.000,0.521,0.800,1.558,0.09,-1.37,-1.79
0.100,0.648,0.798,0.266,28.000,-39.000,-10.000,0.382,0.728,0.133,0.07,-1.42,-1.71
0.100,0.545,0.903,0.342,30.000,-39.000,-10.000,0.664,0.037,0.356,0.02,-1.49,-1.70
0.101,0.567,0.555,0.352,27.000,-39.000,-14.000,-0.600,-0.330,-1.459,0.16,-1.42,-1.74
0.101,0.558,0.688,0.403,28.000,-41.000,-8.000,-0.060,0.365,-1.530,0.30,-1.41,-1.73
0.100,0.665,0.352,0.175,18.000,-44.000,-10.000,-0.406,0.359,-2.061,0.50,-1.37,-1.73
0.091,0.820,0.267,0.018,17.000,-47.000,-11.000,0.769,1.116,-1.829,0.66,-1.49,-1.64
0.100,0.914,-0.059,0.173,8.000,-47.000,-9.000,0.455,0.627,-1.747,0.83,-1.59,-1.56
0.101,0.894,-0.152,0.100,7.000,-47.000,-13.000,-0.205,0.638,-1.692,0.99,-1.66,-1.45
0.100,0.956,-0.240,-0.068,-1.000,-46.000,-20.000,-0.136,0.722,-1.655,1.14,-1.83,-1.24
0.101,0.957,-0.198,0.156,-3.000,-41.000,-21.000,0.650,0.582,-0.800,1.19,-2.10,-1.03
0.101,0.885,-0.146,-0.046,-3.000,-44.000,-23.000,1.532,0.921,-0.706,1.17,-2.54,-0.72
0.101,0.802,-0.271,-0.119,-6.000,-40.000,-27.000,1.633,0.776,-0.247,1.11,-2.84,-0.58
0.101,0.758,-0.458,-0.554,-5.000,-35.000,-31.000,1.091,1.131,-0.037,0.99,-3.01,-0.52
0.101,0.740,-0.345,-0.504,-6.000,-32.000,-32.000,0.261,1.064,-0.277,0.88,-3.10,-0.45
0.101,0.747,-0.493,-0.662,-6.000,-29.000,-33.000,-0.133,1.065,-0.216,0.76,-3.13,-0.40
0.101,0.640,-0.585,-0.234,-14.000,-25.000,-39.000,-0.203,0.560,0.044,0.69,-3.12,-0.40
0.101,0.545,-0.386,-0.748,-4.000,-18.000,-31.000,0.963,1.442,0.310,0.53,3.08,-0.44
0.101,0.474,-0.335,-0.675,1.000,-10.000,-38.000,0.127,1.111,-0.065,0.40,3.06,-0.43
0.100,0.431,-0.642,-0.815,4.000,-5.000,-42.000,-0.340,1.521,-0.491,0.23,3.07,-0.39
0.101,0.289,-0.253,-0.993,6.000,0.000,-43.000,0.670,1.079,-0.190,0.10,3.00,-0.38
0.101,0.080,-0.377,-0.590,5.000,5.000,-47.000,-0.128,0.886,-1.003,-0.01,3.00,-0.29
0.100,-0.083,-0.537,-0.929,4.000,12.000,-45.000,-0.145,0.835,-1.060,-0.09,3.01,-0.19
0.101,-0.247,-0.633,-1.595,9.000,14.000,-39.000,-2.287,-0.711,-1.567,-0.01,-3.04,-0.03
0.091,-0.108,-0.849,-0.922,-1.000,5.000,-47.000,-3.193,-1.732,-0.515,0.16,-2.77,-0.02
0.111,-0.110,-1.285,0.093,-14.000,0.000,-41.000,-3.408,-0.974,-1.144,0.32,-2.41,0.03
0.090,-0.048,-1.348,-0.092,-19.000,-1.000,-34.000,-1.833,-0.483,-0.080,0.36,-2.25,0.00
0.101,0.117,-1.389,0.018,-24.000,-5.000,-33.000,-1.649,-1.277,0.226,0.41,-2.04,-0.13
0.101,0.239,-1.376,0.012,-29.000,-8.000,-27.000,-1.397,-0.332,0.943,0.34,-1.87,-0.20
0.101,0.369,-1.178,-0.324,-31.000,-12.000,-21.000,-0.941,0.164,1.763,0.17,-1.78,-0.24
0.101,0.550,-0.996,-0.193,-28.000,-20.000,-24.000,-0.543,-0.012,1.628,-0.00,-1.72,-0.27
0.101,0.614,-0.725,0.068,-25.000,-26.000,-21.000,-0.067,0.097,2.089,-0.22,-1.72,-0.29
0.100,0.704,-0.839,0.085,-22.000,-31.000,-14.000,-0.238,0.184,1.364,-0.37,-1.69,-0.30
0.101,0.848,-0.769,-0.204,-19.000,-36.000,-17.000,-0.334,-0.460,1.115,-0.49,-1.69,-0.36
0.101,0.894,-0.277,0.170,-17.000,-39.000,-14.000,-0.079,-0.657,1.405,-0.64,-1.73,-0.47
0.101,0.896,-0.505,0.259,-14.000,-42.000,-13.000,-0.638,-0.716,0.672,-0.71,-1.73,-0.57
0.101,0.860,-0.339,0.383,-10.000,-45.000,-7.000,-0.467,-1.247,1.339,-0.83,-1.82,-0.78
0.111,0.813,-0.159,0.532,-5.000,-48.000,0.000,-0.353,-0.865,1.064,-0.93,-1.93,-0.97
0.101,0.860,0.049,0.321,-3.000,-55.000,1.000,-0.199,-0.445,0.222,-0.94,-1.97,-1.04
0.091,0.799,-0.048,0.463,0.000,-48.000,4.000,-0.224,-0.996,1.168,-1.01,-2.13,-1.26
0.100,0.683,0.143,0.682,3.000,-47.000,5.000,-0.306,-1.211,1.780,-1.07,-2.45,-1.67
0.091,0.547,0.363,0.646,10.000,-48.000,7.000,-0.178,-0.733,2.240,-1.12,-2.83,-2.11
0.101,0.461,0.551,0.817,13.000,-42.000,2.000,-0.185,-0.087,1.730,-1.14,3.11,-2.51
0.100,0.409,0.678,0.497,25.000,-38.000,-9.000,-0.313,0.502,1.598,-1.17,2.77,-2.92
0.101,0.288,0.820,0.463,39.000,-33.000,-4.000,-0.589,0.301,1.866,-1.11,2.45,2.94
0.101,0.057,0.887,0.350,45.000,-24.000,-3.000,-0.216,1.016,2.426,-0.99,2.06,2.47
0.100,-0.012,0.904,0.364,48.000,-19.000,-1.000,-0.846,0.408,1.081,-0.92,2.02,2.32
0.111,-0.089,1.022,0.561,48.000,-15.000,2.000,-0.238,0.365,1.296,-0.81,1.93,2.17
0.090,-0.166,0.794,0.280,48.000,-11.000,-1.000,-0.116,0.303,1.392,-0.70,1.88,2.08
0.100,-0.291,0.978,0.307,48.000,-5.000,1.000,-0.226,0.587,0.648,-0.66,1.84,1.98
0.111,-0.282,0.840,0.477,49.000,-4.000,-2.000,-0.159,0.797,0.272,-0.66,1.78,1.85
0.090,-0.346,0.962,0.605,47.000,-2.000,1.000,0.317,0.969,0.605,-0.62,1.68,1.73
0.100,-0.350,1.059,0.680,49.000,0.000,1.000,0.080,0.776,-0.277,-0.66,1.61,1.63
0.101,-0.280,1.151,0.685,48.000,-6.000,-1.000,-0.406,0.040,-1.267,-0.79,1.64,1.63
0.101,-0.091,0.981,0.571,51.000,-10.000,-1.000,-0.309,0.804,-2.333,-1.04,1.57,1.50
0.100,0.179,1.008,0.306,44.000,-20.000,-2.000,-0.377,0.676,-1.806,-1.22,1.43,1.30
0.101,0.397,0.684,0.539,40.000,-29.000,-8.000,0.163,0.608,-1.460,-1.35,0.99,0.87
0.090,0.541,0.511,0.324,38.000,-32.000,-4.000,1.290,2.233,-0.835,-1.22,0.22,0.20
0.100,0.613,1.007,0.115,39.000,-33.000,-10.000,1.096,1.024,-0.708,-1.12,-0.12,-0.03
0.100,0.702,0.616,0.271,29.000,-38.000,-11.000,0.840,1.328,-1.368,-0.95,-0.40,-0.24
0.100,0.853,0.133,0.181,29.000,-39.000,-15.000,0.181,1.291,-0.789,-0.81,-0.44,-0.26
0.100,0.858,0.235,-0.066,27.000,-39.000,-21.000,0.092,1.667,-0.609,-0.65,-0.45,-0.24
0.101,0.872,0.235,-0.272,28.000,-36.000,-25.000,0.226,1.605,-0.417,-0.50,-0.46,-0.20
0.101,0.823,0.256,-0.247,28.000,-31.000,-27.000,0.186,0.833,-0.120,-0.44,-0.47,-0.17
0.101,0.796,0.321,-0.599,28.000,-28.000,-27.000,0.675,1.563,0.342,-0.33,-0.51,-0.06
0.100,0.795,0.213,-0.636,31.000,-26.000,-28.000,0.119,1.169,0.000,-0.24,-0.52,-0.00
0.101,0.723,0.113,-0.545,29.000,-22.000,-31.000,0.054,1.315,0.075,-0.15,-0.52,0.07
0.101,0.682,0.363,-0.643,30.000,-17.000,-29.000,-0.442,0.756,-0.102,-0.09,-0.48,0.10
0.101,0.672,0.362,-0.759,30.000,-16.000,-33.000,-0.537,0.428,-0.017,-0.07,-0.44,0.11
0.100,0.643,0.277,-0.786,26.000,-16.000,-36.000,-0.688,0.276,0.051,-0.06,-0.38,0.13
0.101,0.625,0.306,-0.796,21.000,-15.000,-37.000,-0.510,0.554,0.145,-0.03,-0.34,0.16
0.101,0.615,0.155,-0.687,17.000,-14.000,-40.000,-0.891,0.414,0.218,-0.01,-0.26,0.19
0.101,0.601,0.091,-0.933,12.000,-10.000,-39.000,-1.035,0.463,0.157,0.01,-0.17,0.22
0.100,0.601,0.035,-0.903,8.000,-10.000,-39.000,-1.057,0.051,0.145,-0.01,-0.07,0.23
0.091,0.585,-0.127,-0.879,6.000,-8.000,-41.000,-1.075,0.307,0.345,0.00,0.03,0.27
0.101,0.580,-0.359,-0.808,1.000,-8.000,-44.000,-1.400,-0.002,0.309,-0.01,0.18,0.30
0.101,0.611,-0.469,-0.908,-5.000,-8.000,-43.000,-1.505,-0.382,0.018,-0.07,0.34,0.31
0.101,0.610,-0.582,-0.519,-10.000,-13.000,-36.000,-1.756,-0.970,0.163,-0.16,0.54,0.38
0.101,0.671,-0.676,-0.313,-15.000,-17.000,-35.000,-1.867,-1.847,0.003,-0.32,0.76,0.50
0.101,0.732,-0.711,-0.280,-21.000,-25.000,-30.000,-1.185,-2.115,0.905,-0.40,0.98,0.75
0.101,0.841,-0.524,0.021,-18.000,-33.000,-23.000,-0.200,-1.392,1.319,-0.37,1.08,0.96
0.100,0.834,-0.432,0.261,-14.000,-38.000,-15.000,-0.263,-1.378,1.444,-0.31,1.17,1.17
0.100,0.937,-0.193,0.596,-13.000,-39.000,-9.000,0.058,-1.585,1.465,-0.25,1.21,1.39
0.100,0.841,-0.207,0.332,-6.000,-45.000,-7.000,0.012,-1.519,1.537,-0.17,1.24,1.59
0.102,0.869,-0.139,0.521,-3.000,-47.000,0.000,-0.221,-1.596,1.489,-0.09,1.28,1.79
0.100,0.852,-0.118,0.135,3.000,-47.000,3.000,-0.092,-0.695,1.543,0.02,1.29,1.90
0.100,0.702,0.118,0.675,10.000,-48.000,7.000,-0.281,-1.093,1.879,0.16,1.30,2.06
0.101,0.554,0.446,0.524,14.000,-47.000,7.000,-0.141,-0.683,1.939,0.32,1.27,2.19
0.100,0.386,0.730,0.660,16.000,-43.000,5.000,0.034,-0.666,1.812,0.47,1.21,2.32
0.101,0.426,0.697,0.099,23.000,-44.000,0.000,0.135,1.514,0.515,0.57,1.26,2.17
0.091,0.416,0.372,0.327,27.000,-43.000,2.000,-0.241,-0.208,0.950,0.64,1.25,2.23
0.100,0.333,0.252,0.279,34.000,-43.000,-5.000,-0.568,-0.421,0.898,0.71,1.24,2.31
0.101,0.110,0.907,0.445,47.000,-34.000,0.000,-0.308,-0.230,1.319,0.83,1.20,2.41
0.100,-0.126,0.904,0.765,53.000,-24.000,6.000,-0.312,-0.803,2.042,0.99,1.02,2.68
0.101,-0.242,0.659,0.546,49.000,-15.000,13.000,-0.835,-0.598,1.672,1.09,0.83,2.99
0.100,-0.424,0.791,0.492,49.000,-6.000,7.000,-1.045,-0.621,1.785,1.17,0.52,-2.84
0.101,-0.597,1.078,0.402,50.000,0.000,-8.000,-1.061,-0.124,1.488,1.22,0.21,-2.40
0.100,-0.628,1.047,0.314,50.000,3.000,-6.000,-1.185,0.034,0.553,1.24,0.12,-2.19
0.101,-0.564,0.924,0.210,49.000,4.000,-11.000,-0.789,0.124,0.487,1.25,-0.00,-1.98
0.101,-0.556,0.891,-0.046,44.000,8.000,-13.000,-0.952,0.115,0.239,1.27,-0.04,-1.84
0.100,-0.601,0.854,-0.181,43.000,6.000,-15.000,-0.423,0.561,0.333,1.33,-0.22,-1.62
0.100,-0.776,1.292,-0.184,41.000,10.000,-17.000,0.361,1.255,0.504,1.41,-0.89,-0.98
0.102,-0.680,0.906,0.047,44.000,5.000,-20.000,-0.299,-0.026,-1.834,1.45,0.36,-2.21
0.101,-0.616,1.146,-0.062,43.000,-3.000,-17.000,0.362,0.244,-2.352,1.30,1.22,-3.13
0.101,-0.470,1.124,-0.034,46.000,-10.000,-15.000,0.856,0.625,-2.513,1.08,1.44,2.84
0.100,-0.157,0.862,0.140,43.000,-19.000,-16.000,0.065,0.038,-2.479,0.85,1.47,2.78
0.100,0.173,0.321,-0.029,40.000,-25.000,-13.000,-0.078,-0.176,-1.553,0.69,1.48,2.78
0.101,0.294,0.752,0.162,41.000,-29.000,-9.000,0.511,0.409,-1.709,0.53,1.46,2.71
0.091,0.347,1.132,0.591,37.000,-33.000,-9.000,0.913,0.329,-1.295,0.41,1.40,2.66
0.100,0.487,0.805,0.598,33.000,-37.000,-8.000,0.140,-0.050,-1.359,0.28,1.39,2.64
0.111,0.597,0.694,0.586,30.000,-40.000,-3.000,0.295,0.475,-1.680,0.09,1.37,2.55
0.090,0.680,0.672,0.383,21.000,-44.000,-7.000,1.122,0.802,-1.393,-0.02,1.26,2.44
0.101,0.779,0.174,0.196,14.000,-48.000,-12.000,0.435,0.754,-1.882,-0.19,1.20,2.31
0.100,0.865,0.037,0.288,9.000,-46.000,-12.000,-0.185,0.230,-1.752,-0.36,1.19,2.21
0.100,0.883,0.318,0.605,4.000,-46.000,-11.000,-0.339,-0.190,-1.847,-0.55,1.19,2.15
0.100,0.906,-0.204,0.352,-2.000,-47.000,-13.000,-0.380,-0.227,-1.370,-0.71,1.20,2.11
0.101,0.909,-0.293,0.017,-10.000,-42.000,-15.000,0.260,0.571,-1.378,-0.82,1.07,1.96
0.100,0.866,-0.331,0.091,-14.000,-45.000,-13.000,0.403,0.476,-1.220,-0.91,0.90,1.81
0.101,0.788,-0.402,0.192,-19.000,-40.000,-12.000,0.455,0.529,-1.374,-0.98,0.68,1.59
0.101,0.667,-0.699,-0.059,-24.000,-32.000,-15.000,0.483,0.843,-1.523,-0.99,0.39,1.30
0.101,0.638,-1.026,-0.184,-25.000,-24.000,-15.000,-0.611,0.714,-2.063,-0.98,0.15,0.93
0.101,0.578,-1.215,-0.324,-26.000,-19.000,-19.000,-1.088,0.297,-0.176,-0.96,0.26,0.92
0.101,0.595,-0.764,-0.290,-26.000,-21.000,-17.000,-0.489,1.114,-0.134,-0.87,0.27,0.87
0.091,0.675,-1.145,-0.260,-27.000,-19.000,-18.000,-0.355,0.479,0.257,-0.83,0.33,0.90
0.100,0.684,-0.686,-0.095,-25.000,-26.000,-18.000,0.503,0.445,1.756,-0.73,0.44,1.12
0.101,0.743,-0.625,0.046,-21.000,-30.000,-17.000,0.198,0.145,1.341,-0.67,0.53,1.28
0.100,0.812,-0.446,-0.087,-20.000,-34.000,-13.000,-0.295,-0.803,1.035,-0.68,0.67,1.46
0.101,0.823,-0.636,0.177,-22.000,-39.000,-14.000,-0.109,-1.027,1.735,-0.64,0.85,1.72
0.101,0.837,-0.840,0.320,-13.000,-44.000,-1.000,-1.234,-0.813,1.713,-0.55,1.09,1.93
